match_id,commence_time,home_team_raw,away_team_raw,home_team,away_team,league,sport_key,home_odds,away_odds,draw_odds,num_bookmakers,home_implied_prob,draw_implied_prob,away_implied_prob,home_true_prob,draw_true_prob,away_true_prob,odds_home_advantage,match_competitiveness,market_uncertainty
e31617643c4a49202d27478c4dbac218,2025-09-13T11:30:00Z,Arsenal,Nottingham Forest,Arsenal,Nottingham Forest,PL,soccer_epl,1.38,7.56,4.66,18,0.7246376811594204,0.2145922746781116,0.1322751322751323,0.6762802054778744,0.20027182050632328,0.12344797401580246,-0.5923625488842881,0.44716776853792806,0.20027182050632328
1e57757e35817cb95bf2b2683944fefb,2025-09-13T14:00:00Z,Everton,Aston Villa,Everton,Aston Villa,PL,soccer_epl,2.45,2.85,3.25,18,0.4081632653061224,0.3076923076923077,0.3508771929824561,0.3826293504079314,0.2884436641536714,0.32892698543839716,-0.05728607232366628,0.9462976350304657,0.2884436641536714
3644cdbd4c7a00079e58d5ec9fda94b5,2025-09-13T14:00:00Z,Bournemouth,Brighton and Hove Albion,Bournemouth,Brighton and Hove,PL,soccer_epl,2.35,2.78,3.53,18,0.425531914893617,0.28328611898017,0.3597122302158274,0.39824039542405415,0.26511754369590007,0.3366420608800458,-0.06581968467778965,0.9384016654559917,0.26511754369590007
fabedefd78cbe14291bcc86ad4f8923d,2025-09-13T14:00:00Z,Crystal Palace,Sunderland,Crystal Palace,Sunderland,PL,soccer_epl,1.61,5.25,3.81,18,0.6211180124223602,0.26246719160104987,0.19047619047619047,0.5782891142007164,0.24436889077773058,0.17734199502155304,-0.43064182194616973,0.5990528808208366,0.24436889077773058
cb961fd233b0e10d3b79b7035eb58f82,2025-09-13T14:00:00Z,Fulham,Leeds United,Fulham,Leeds United,PL,soccer_epl,1.89,3.91,3.54,18,0.5291005291005292,0.2824858757062147,0.2557544757033248,0.4957184145778046,0.2646632213423872,0.23961836407980833,-0.27334605339720436,0.7438999495020038,0.2646632213423872
16c474ea38ef7e992646cd2f29d95213,2025-09-13T14:00:00Z,Newcastle United,Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,PL,soccer_epl,1.42,6.97,4.53,18,0.7042253521126761,0.22075055187637968,0.14347202295552366,0.6591105980490188,0.206608620138986,0.1342807818119952,-0.5607533291571525,0.4751701837629764,0.206608620138986
cfea7fce94d4595b15945076c7b3afdd,2025-09-13T16:30:00Z,West Ham United,Tottenham Hotspur,West Ham,Tottenham Hotspur,PL,soccer_epl,3.3,2.08,3.51,18,0.30303030303030304,0.2849002849002849,0.4807692307692307,0.28355043926083007,0.26658588306573766,0.44986367767343227,0.1777389277389277,0.8336867615873977,0.26658588306573766
c445b142bf02c34d6ac8ef1f90aa227b,2025-09-13T19:00:00Z,Brentford,Chelsea,Brentford,Chelsea,PL,soccer_epl,4.31,1.75,3.79,18,0.2320185614849188,0.2638522427440633,0.5714285714285714,0.2173884542394436,0.24721483846226963,0.5353967072982868,0.33941000994365256,0.6819917469411568,0.24721483846226963
9b3a8f0ac2a3e7e7b62e4b4675f801f0,2025-09-14T13:00:00Z,Burnley,Liverpool,Burnley,Liverpool,PL,soccer_epl,9.07,1.31,5.2,18,0.11025358324145534,0.1923076923076923,0.7633587786259541,0.10343513362902138,0.18041474269523533,0.7161501236757434,0.6531051953844988,0.38728500995327797,0.18041474269523533
27c235595691a449a74c05453ddbe13a,2025-09-14T15:30:00Z,Manchester City,Manchester United,Manchester City,Manchester United,PL,soccer_epl,1.7,4.4,4.06,16,0.5882352941176471,0.24630541871921185,0.22727272727272727,0.553991192706072,0.23196675556658192,0.214042051727346,-0.3609625668449198,0.660050859021274,0.23196675556658192
c5a9413ae7de9a4b1319ef0313c46a29,2025-09-20T11:30:00Z,Liverpool,Everton,Liverpool,Everton,PL,soccer_epl,1.38,7.19,4.81,14,0.7246376811594204,0.2079002079002079,0.13908205841446453,0.6762077197867195,0.1940055412277906,0.12978673898548995,-0.5855556227449559,0.45357901919877053,0.1940055412277906
70550360fef75d22872065bc5b828262,2025-09-20T14:00:00Z,Bournemouth,Newcastle United,Bournemouth,Newcastle United,PL,soccer_epl,2.51,2.54,3.36,14,0.39840637450199207,0.2976190476190476,0.39370078740157477,0.3656022687354884,0.2731135995613321,0.3612841317031794,-0.004705587100417297,0.995681862967691,0.2731135995613321
1b8d93208f4fcd71338da8ddb4e9449c,2025-09-20T14:00:00Z,Brighton and Hove Albion,Tottenham Hotspur,Brighton and Hove,Tottenham Hotspur,PL,soccer_epl,2.02,3.12,3.58,14,0.49504950495049505,0.27932960893854747,0.3205128205128205,0.45214462669408506,0.2551207111514111,0.2927346621545038,-0.17453668443767456,0.8405900354604188,0.2551207111514111
cde7b785c0cddf6418ba78b12b43c0f8,2025-09-20T14:00:00Z,Burnley,Nottingham Forest,Burnley,Nottingham Forest,PL,soccer_epl,3.48,1.96,3.43,14,0.28735632183908044,0.29154518950437314,0.5102040816326531,0.26384615384615384,0.2676923076923077,0.4684615384615385,0.22284775979357263,0.7953846153846154,0.2676923076923077
67daeba2b18abda61d6e83dea91a0799,2025-09-20T14:00:00Z,West Ham United,Crystal Palace,West Ham,Crystal Palace,PL,soccer_epl,2.67,2.43,3.24,14,0.37453183520599254,0.30864197530864196,0.4115226337448559,0.34213305174234426,0.2819429778247096,0.3759239704329461,0.03699079853886339,0.9662090813093982,0.2819429778247096
810514bae3c443a79431b56db8d23acc,2025-09-20T14:00:00Z,Wolverhampton Wanderers,Leeds United,Wolverhampton Wanderers,Leeds United,PL,soccer_epl,2.4,2.88,3.1,14,0.4166666666666667,0.3225806451612903,0.3472222222222222,0.3835051546391752,0.2969072164948453,0.31958762886597936,-0.06944444444444448,0.9360824742268041,0.2969072164948453
bde545f057001b43e8a89ddb64e199ba,2025-09-20T16:30:00Z,Manchester United,Chelsea,Manchester United,Chelsea,PL,soccer_epl,2.76,2.3,3.43,14,0.3623188405797102,0.29154518950437314,0.4347826086956522,0.33281583543566856,0.26780516204152915,0.3993790025228023,0.07246376811594202,0.9334368329128663,0.26780516204152915
3e0c56ca054fa1461e4b9a43f53f2d1b,2025-09-20T19:00:00Z,Fulham,Brentford,Fulham,Brentford,PL,soccer_epl,1.99,3.23,3.39,14,0.5025125628140703,0.2949852507374631,0.30959752321981426,0.45390179700292244,0.26644972744419343,0.27964847555288413,-0.19291503959425604,0.8257466785499616,0.26644972744419343
efb75993d311151fb2eab48121a701a9,2025-09-21T13:00:00Z,Sunderland,Aston Villa,Sunderland,Aston Villa,PL,soccer_epl,3.77,1.83,3.68,12,0.26525198938992045,0.2717391304347826,0.5464480874316939,0.24482406360539646,0.250811608639224,0.5043643277553795,0.2811960980417735,0.7404597358500169,0.250811608639224
5612c295b500f1038ef932a24070e3ca,2025-09-21T15:30:00Z,Arsenal,Manchester City,Arsenal,Manchester City,PL,soccer_epl,2.02,3.36,3.42,13,0.49504950495049505,0.29239766081871343,0.2976190476190476,0.45623898232407456,0.2694744866358569,0.2742865310400686,-0.19743045733144743,0.818047548715994,0.2694744866358569
