match_date,home_team,away_team,league,best_bet,model_prob,bookmaker_prob,odds,value_score,edge_pct,kelly_pct,overround,match_confidence
2025-09-21 00:00:00+00:00,Barcelona,Getafe,PD,away_win,0.168593753275812,0.06654743022981136,13.9,1.5334374699909419,10.204632304600064,10.414365663052612,8.10702350898187,0.5186734019018254
2025-09-21 00:00:00+00:00,Inter Milan,Sassuolo,SA,draw,0.4058590750954962,0.16871008153122624,5.47,1.4056598835818621,23.714899356426994,25.0,8.360659203468046,0.4437139035809552
2025-09-21 00:00:00+00:00,Real Madrid,Espanyol,PD,away_win,0.1814409771041741,0.07882997467996376,11.68,1.3016749382553208,10.261100242421033,10.479687383677465,8.60898878092058,0.5465043060737726
2025-09-21 13:00:00+00:00,Sunderland,Aston Villa,PL,home_win,0.4663455720755364,0.24482406360539646,3.77,0.9048191799772787,22.152150847013992,25.0,8.343920725639698,0.4663455720755364
2025-09-21 00:00:00+00:00,Napoli,Pisa,SA,draw,0.3214466012982425,0.17961237894056398,4.97,0.7896684136933193,14.18342223576785,15.052634973608688,12.023037970755146,0.5746150877677659
2025-09-13 19:00:00+00:00,Brentford,Chelsea,PL,draw,0.4204104487113492,0.24721483846226963,3.79,0.7005874377379373,17.319561024907955,21.267225828530947,6.729937565755351,0.4204104487113492
2025-09-14 19:00:00+00:00,Barcelona,Valencia,PD,away_win,0.1373873447497244,0.08274863754589709,10.97,0.6602973634885718,5.4638707203827295,5.086651674066966,10.162179740213295,0.7205989189214512
2025-09-14 13:00:00+00:00,Burnley,Liverpool,PL,draw,0.2988040496586115,0.18041474269523533,5.2,0.6562063897592044,11.838930696337618,13.18526329106619,6.592005417510172,0.5513727945793602
2025-09-13 14:00:00+00:00,Crystal Palace,Sunderland,PL,draw,0.4023485320054806,0.24436889077773058,3.81,0.6464801666241665,15.797964122775001,18.96611768472886,7.4061394499600475,0.4366705065669082
2025-09-14 12:00:00+00:00,Celta Vigo,Girona,PD,draw,0.3878360218999125,0.24211834577763444,3.81,0.6018448360625577,14.571767612227807,16.9984072398102,8.404503904096616,0.4249840410265134
2025-09-21 00:00:00+00:00,Girona,Levante,PD,away_win,0.3700254958315391,0.23192382715641222,3.96,0.5954613217985122,13.810166867512688,15.719627145030227,8.88284124207146,0.3700254958315391
2025-09-13 13:00:00+00:00,Cagliari,Parma,SA,away_win,0.1344111300866536,0.2819500472062484,3.29,-0.523280341966636,-14.75389171195948,0.0,7.803268980768241,0.5042395209009318
2025-09-12 19:00:00+00:00,Sevilla,Elche,PD,draw,0.430436440308198,0.2862865504089808,3.24,0.5035161089240439,14.414988989921717,17.616699401721498,7.808758346392741,0.430436440308198
2025-09-14 11:00:00+00:00,Southampton,Portsmouth,ELC,away_win,0.3034166505581723,0.2025158859766844,4.55,0.4982362943769486,10.09007645814879,10.719598874357295,8.524928165646717,0.3503855279162308
2025-09-20 14:00:00+00:00,West Ham,Crystal Palace,PL,home_win,0.174952755372033,0.34213305174234426,2.67,-0.4886411748848295,-16.718029637031126,0.0,9.469644425949042,0.5303519860122657
2025-09-20 19:00:00+00:00,Fulham,Brentford,PL,home_win,0.2401093590913998,0.45390179700292244,1.99,-0.47101033598716097,-21.379243791152263,0.0,10.709533677134765,0.4060397412615095
2025-09-20 11:30:00+00:00,Liverpool,Everton,PL,draw,0.280820643358157,0.1940055412277906,4.81,0.4474877448393749,8.681510213036638,9.205965736292258,7.161994747409284,0.5808238372764645
2025-09-13 18:45:00+00:00,Fiorentina,Napoli,SA,home_win,0.3695228023591735,0.25571149927104153,3.61,0.44507698485431674,11.381130308813198,12.796065766920162,8.328452587770574,0.3695228023591735
2025-09-15 19:00:00+00:00,Espanyol,Mallorca,PD,draw,0.4007850393218675,0.28114580175810855,3.24,0.4255416115610142,11.963923756375895,13.32783604477012,9.780040597650652,0.4007850393218675
2025-09-13 14:15:00+00:00,Real Sociedad,Real Madrid,PD,draw,0.3198479840807957,0.23374068059786413,3.96,0.36838817814120106,8.610730348293155,9.006689762160503,8.036500911754452,0.4864470386763573
2025-09-13 16:00:00+00:00,Juventus,Inter Milan,SA,away_win,0.2195942771294992,0.33885391665314285,2.74,-0.35195001049883107,-11.925963952364366,0.0,7.705263452279487,0.4252219488916685
2025-09-13 14:00:00+00:00,Wrexham,QPR,ELC,draw,0.3608400877479192,0.26733808903623013,3.42,0.34975187803866403,9.350199871168908,9.67244215280511,9.3737379035006,0.3608400877479192
2025-09-15 18:45:00+00:00,Como,Genoa,SA,draw,0.33550368237764,0.25403938658882536,3.64,0.32067584827178164,8.146429578881465,8.380053176310971,8.142787783506344,0.4939619325265124
2025-09-21 00:00:00+00:00,Valencia,Athletic Bilbao,PD,away_win,0.2587588713699645,0.3805656172834195,2.42,-0.3200676581950428,-12.180674591345497,0.0,8.581312060076929,0.4062170713296342
2025-09-14 14:15:00+00:00,Levante,Real Betis,PD,away_win,0.2987263600793691,0.4309047657967299,2.09,-0.3067462144981547,-13.217840571736083,0.0,11.03820089732741,0.3514832769862451
2025-09-21 00:00:00+00:00,Cremonese,Parma,SA,away_win,0.2349930212522109,0.33066137994795886,2.65,-0.28932425888625013,-9.566835869574797,0.0,14.122335854712853,0.4118055901098162
2025-09-21 00:00:00+00:00,Bologna,Genoa,SA,away_win,0.1474950613978403,0.2019237226794815,4.33,-0.26955060336341535,-5.44286612816412,0.0,14.373328280836883,0.5265921066156514
2025-09-14 13:00:00+00:00,Pisa,Udinese,SA,away_win,0.2770029579462936,0.3732066692516479,2.44,-0.25777597034442473,-9.620371130535432,0.0,9.814775388545893,0.383291338552587
2025-09-21 00:00:00+00:00,Rayo Vallecano,Celta Vigo,PD,draw,0.3571162092563227,0.2849910788222338,3.24,0.2530785550626928,7.212513043408891,7.01145169600382,8.298819943469415,0.3571162092563227
2025-09-21 00:00:00+00:00,Real Betis,Real Sociedad,PD,home_win,0.3335621827613784,0.43174316075062175,2.13,-0.22740598326687442,-9.818097798924336,0.0,8.74140247152515,0.3439682282568861
2025-09-13 14:00:00+00:00,Everton,Aston Villa,PL,home_win,0.309370446006971,0.3826293504079314,2.45,-0.19146180062469623,-7.325890440096039,0.0,6.673276598088629,0.357174330203383
2025-09-21 00:00:00+00:00,Lecce,Cagliari,SA,away_win,0.285681291906627,0.3485753732322815,2.5,-0.18043179798517645,-6.289408132565449,0.0,14.752799743385925,0.3812487231677518
2025-09-13 11:30:00+00:00,Charlton Athletic,Millwall,ELC,home_win,0.3295588166415839,0.40112974920255534,2.28,-0.1784233971757374,-7.157093256097147,0.0,9.340305001062287,0.3407593635698195
